#img,PPL/XP,Analytical Code,Image Width,Fabric Code,Petrographic Fabric,Site ,Latitude#number,Longitude#number,Excavation Year,Area,Locus,Basket,Square,Vessel Form Type,#name,Period,Stratum
3315-Z869_50x_PPL,PPL,NNCC001,3.0 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1989,J,L.3315,B.Z869,L11,Churn,Churn,Chalcolithic,III
3315-Z869_50x_XP,XP,NNCC001,3.0 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1989,J,L.3315,B.Z869,L11,Churn,Churn,Chalcolithic,III
4084-A215_50x_PPL,PPL,NNCC002,3.0 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1993,D,L.4084,B.A215+243,P14,Medium Bowl,Medium Bowl,Chalcolithic,IA
4084-A215_50X_XP,XP,NNCC002,3.0 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1993,D,L.4084,B.A215+243,P14,Medium Bowl,Medium Bowl,Chalcolithic,IA
4100-A297B_50X_PPL,PPL,NNCC003,3.0 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1993,D,L.4100,B.A297,O13,Jar,Jar,Chalcolithic,IIA
4100-A297B_50X_XP,XP,NNCC003,3.0 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1993,D,L.4100,B.A297,O13,Jar,Jar,Chalcolithic,IIA
4100-A297S_50X_PPL,PPL,NNCC004,3.0 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1993,D,L.4100,B.A297,O13,Necked Jar,Necked Jar,Chalcolithic,IIA
4100-A297S_50X_XP,XP,NNCC004,3.0 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1993,D,L.4100,B.A297,O13,Necked Jar,Necked Jar,Chalcolithic,IIA
4101-A279_50X_PPL,PPL,NNCC005,3.0 mm,3,Sand and Plant-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1993,D,L.4101,B.A279,O13,Necked Jar,Necked Jar,Chalcolithic,IIA/B
4101-A279_50X_XP,XP,NNCC005,3.0 mm,3,Sand and Plant-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1993,D,L.4101,B.A279,O13,Necked Jar,Necked Jar,Chalcolithic,IIA/B
4140-All_50x_PPL,PPL,NNCC006,3.0 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1993,D,L.4140,B.all,N13,Small V-Shaped Bowl,Small V-Shaped Bowl,Chalcolithic,I/IIA
4140-All_50x_XP,XP,NNCC006,3.0 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1993,D,L.4140,B.all,N13,Small V-Shaped Bowl,Small V-Shaped Bowl,Chalcolithic,I/IIA
4149-A366_50X_ppl,PPL,NNCC007,3.0 mm,1,Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1993,D,L.4149,B.A366,Q14,Small V-Shaped Bowl,Small V-Shaped Bowl,Chalcolithic,IA/B
4149-A366_50x_XP,XP,NNCC007,3.0 mm,1,Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1993,D,L.4149,B.A366,Q14,Small V-Shaped Bowl,Small V-Shaped Bowl,Chalcolithic,IA/B
4180-A434_50X_PPL,PPL,NNCC008,3.0 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1993,D,L.4180,B.A434,O12/P12,Holemouth Jar,Holemouth Jar,Chalcolithic,IIB
4180-A434_50X_XP,XP,NNCC008,3.0 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1993,D,L.4180,B.A434,O12/P12,Holemouth Jar,Holemouth Jar,Chalcolithic,IIB
4198-A548_50X_PPL,PPL,NNCC009,3.0 mm,5,Highly Calcareous Micritic Limestone Fabric,Shiqmim,31.195, 34.639,1993,D,L.4198,B.A548,P14,Medium Bowl,Medium Bowl,Chalcolithic,IIB
4198-A548_50X_XP,XP,NNCC009,3.0 mm,5,Highly Calcareous Micritic Limestone Fabric,Shiqmim,31.195, 34.639,1993,D,L.4198,B.A548,P14,Medium Bowl,Medium Bowl,Chalcolithic,IIB
4198_A564_50X_PPL,PPL,NNCC010,3.0 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1993,D,L.4198,B.A564,P14,Cooking Pot,Cooking Pot,Chalcolithic,IIB
4198_A564_50X_XP,XP,NNCC010,3.0 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1993,D,L.4198,B.A564,P14,Cooking Pot,Cooking Pot,Chalcolithic,IIB
434-7291_50X_PPL,PPL,NNCC011,3.0 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1988,Y,L.434,B.7291,L10/M11,Holemouth Jar,Holemouth Jar,Chalcolithic,II
434-7291_50X_XP,XP,NNCC011,3.0 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1988,Y,L.434,B.7291,L10/M11,Holemouth Jar,Holemouth Jar,Chalcolithic,II
4515-B43_50X_PPL,PPL,NNCC012,3.0 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1993,X,L.4515,B.B43,O18,Large Bowl,Large Bowl,Chalcolithic,IIB
4515-B43_50X_XP,XP,NNCC012,3.0 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1993,X,L.4515,B.B43,O18,Large Bowl,Large Bowl,Chalcolithic,IIB
4521-B93_50X_PPL,PPL,NNCC013,3.0 mm,3,Sand and Plant-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1993,X,L.4521,B.B93,P1,Holemouth Jar,Holemouth Jar,Chalcolithic,IIA
4521-B93_50X_XP,XP,NNCC013,3.0 mm,3,Sand and Plant-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1993,X,L.4521,B.B93,P1,Holemouth Jar,Holemouth Jar,Chalcolithic,IIA
4542-B222_50x_PPL,PPL,NNCC014,3.0 mm,1,Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1993,X,L.4542,B.B222,A18,Small V-Shaped Bowl,Small V-Shaped Bowl,Chalcolithic,IIA
4542-B222_50x_XP,XP,NNCC014,3.0 mm,1,Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1993,X,L.4542,B.B222,A18,Small V-Shaped Bowl,Small V-Shaped Bowl,Chalcolithic,IIA
730-6229_50X_PPL,PPL,NNCC015,3.0 mm,3,Sand and Plant-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1988,D,L.730,B.6229,O12,Pithos,Pithos,Chalcolithic,IIB?
730-6229_50X_PPL,XP,NNCC015,3.0 mm,3,Sand and Plant-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1988,D,L.730,B.6229,O12,Pithos,Pithos,Chalcolithic,IIB?
734-6160_50X_PPL,PPL,NNCC016,3.0 mm,4,Sandy Calcareous Fabric,Shiqmim,31.195, 34.639,1988,D,L.734,B.6160,P12,Holemouth Jar,Holemouth Jar,Chalcolithic,III
734-6160_50X_XP,XP,NNCC016,3.0 mm,4,Sandy Calcareous Fabric,Shiqmim,31.195, 34.639,1988,D,L.734,B.6160,P12,Holemouth Jar,Holemouth Jar,Chalcolithic,III
744-6200_50X_PPL,XP,NNCC017,3.0 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1988,D,L.744,B.6200,O12,Basin,Basin,Chalcolithic,IIA
744-6200_50X_XP,PPL,NNCC017,3.0 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1988,D,L.744,B.6200,O12,Basin,Basin,Chalcolithic,IIA
9-3_50X_PPL,PPL,NNCC018,3.0 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1987,South Trench,L.9,B.139,K5,Churn,Churn,Chalcolithic,I
9-3_50x_XP,XP,NNCC018,3.0 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1987,South Trench,L.9,B.139,K5,Churn,Churn,Chalcolithic,I
366-3_50X_PPL,PPL,NNCC019,3.0 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1988,Y,L.366,,J10,Churn,Churn,Chalcolithic,I
366-3_50X_XP,XP,NNCC019,3.0 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1988,Y,L.366,,J10,Churn,Churn,Chalcolithic,I
435-4_50x_PPL,PPL,NNCC020,3.0 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1988,Y,L.435,B.7292,L10,Churn,Churn,Chalcolithic,II
435-4_50x_XP,XP,NNCC020,3.0 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1988,Y,L.435,B.7292,L10,Churn,Churn,Chalcolithic,II
559_50X_PPL,PPL,NNCC021,3.0 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1988,P,L.559,,H8,Churn,Churn,Chalcolithic,I
708-3_50X_PPL,PPL,NNCC022,3.0 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1988,D,L.708,,Q11,Churn,Churn,Chalcolithic,IIA
708-3_50X_XP,XP,NNCC022,3.0 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1988,D,L.708,,Q11,Churn,Churn,Chalcolithic,IIA
3507-4_50X_PPL,PPL,NNCC023,3.0 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1989,D,L.3507,,P14,Holemouth Jar,Holemouth Jar,Chalcolithic,IA/B
3507-4_50X_XP,XP,NNCC023,3.0 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1989,D,L.3507,,P14,Holemouth Jar,Holemouth Jar,Chalcolithic,IA/B
3507-5_50X_PPL,PPL,NNCC024,3.0 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1989,D,L.3507,,P14,Churn,Churn,Chalcolithic,IA/B
7290-2_50X_PPL,PPL,NNCC025,3.0 mm,3,Sand and Plant-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1988,Y,L.435,B.7290,L10,Churn,Churn,Chalcolithic,II
7290-2_50X_XP,XP,NNCC025,3.0 mm,3,Sand and Plant-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1988,Y,L.435,B.7290,L10,Churn,Churn,Chalcolithic,II
L3508,XP,NNCC026,2.9 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1989,D,L.3508,B.Z396,,Churn,Churn,Chalcolithic,IA
L713-1,XP,NNCC027,2.9 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1988,D,L.713-1,B.6143,P12,Churn,Churn,Chalcolithic,IIA
L520,XP,NNCC028,2.9 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1988,P,L.520,B.8091,H7,Churn,Churn,Chalcolithic,I
L268,XP,NNCC029,2.9 mm,3,Sand and Plant-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1987,North Trench,L.268,,M7,Churn,Churn,Chalcolithic,IA
L283-2,XP,NNCC030,2.9 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1987,North Trench,L.283-2,,L7,Churn,Churn,Chalcolithic,IIA
L217,XP,NNCC031,2.9 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1987,North Trench,L.217,B.412,K6,Churn,Churn,Chalcolithic,IA
3262,XP,NNCC032,2.9 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1989,J,L.3262,,M12,Necked Jar,Necked Jar,Chalcolithic,II
L259,XP,NNCC033,2.9 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1987,North Trench,L.259,B.532,M6,Churn,Churn,Chalcolithic,IA
L3270,XP,NNCC034,2.9 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1989,J,L.3270,B.Z681,M11,Churn,Churn,Chalcolithic,I
L512,XP,NNCC035,2.9 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1988,P,L.512,B.8084,G9,Churn,Churn,Chalcolithic,I
L531,XP,NNCC036,2.9 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1988,P,L.531,B.8108,G9,Churn,Churn,Chalcolithic,II
L739,XP,NNCC037,2.9 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1988,D,L.739,,N12,Churn,Churn,Chalcolithic,IIB
L544,XP,NNCC038,2.9 mm,5,Highly Calcareous Micritic Limestone Fabric,Abu Hof Village,31.382525, 34.843839,1996,AHVL,L.544,,D20,Churn,Churn,Chalcolithic,IIIA/IIIB
L3041-3,XP,NNCC039,2.9 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1989,Y,L.3041-3,B.Z236,M10/L10,Churn,Churn,Chalcolithic,III
L4527,XP,NNCC040,2.9 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1993,X,L.4527,,,,,Chalcolithic,
L3279,XP,NNCC041,2.9 mm,3,Sand and Plant-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1989,J,L.3279,B.Z643,L12,Churn,Churn,Chalcolithic,II
L438-1,XP,NNCC042,2.9 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1988,Y,L.438-1,B.7303,L11,Churn,Churn,Chalcolithic,II
L432,XP,NNCC043,2.9 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1988,Y,L.432,B.7277,M10/L10/M11/L11,Churn,Churn,Chalcolithic,III
L4501,XP,NNCC044,2.9 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1993,X,L.4501,B.B11,O18/P18,Churn,Churn,Chalcolithic,I
L734,XP,NNCC045,2.9 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1988,D,L.734,,P12,Churn,Churn,Chalcolithic,III
L7285,XP,NNCC046,2.9 mm,3,Sand and Plant-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1988,P,L.515,B.7285,G9/G10,Churn,Churn,Chalcolithic,I
L4536,XP,NNCC047,2.9 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1993,X,L.4536,B.137,P20/Q20,Churn,Churn,Chalcolithic,IIA
L568-1,XP,NNCC048,2.9 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1988,P,L.568-1,B.8203,G9,Churn,Churn,Chalcolithic,II
B7136,XP,NNCC049,2.9 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1988,Y,L.382,B.7136,J10,Churn,Churn,Chalcolithic,I
L4556-3,XP,NNCC050,2.9 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1993,X,L.4556-3,,A19/B19,Churn,Churn,Chalcolithic,IIA
L258-2,XP,NNCC051,2.9 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1987,North Trench,L.258-2,,L9,Churn,Churn,Chalcolithic,IA
L3037,XP,NNCC052,2.9 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1989,Y,L.3037,B.Z126,M10,Churn,Churn,Chalcolithic,III
415,XP,NNCC053,2.9 mm,2,Sand-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1988,Y,L.415,,M11,Churn,Churn,Chalcolithic,I
L3263,XP,NNCC054,2.9 mm,3,Sand and Plant-Tempered Silty Calcareous Fabric,Shiqmim,31.195, 34.639,1989,J,L.3263,B.Z607,L12,Churn,Churn,Chalcolithic,I
560-10_50x_PPL,PPL,NNCC055,3.0 mm,5,Highly Calcareous Micritic Limestone Fabric,Abu Hof Village,31.382525, 34.843839,1996,AHVL,L.560-10,B.all,Topsoil,Small V-Shaped Bowl,Small V-Shaped Bowl,Chalcolithic,I
560-10_50x_XP,XP,NNCC056,3.0 mm,5,Highly Calcareous Micritic Limestone Fabric,Abu Hof Village,31.382525, 34.843839,1996,AHVL,L.560-10,B.all,Topsoil,Small V-Shaped Bowl,Small V-Shaped Bowl,Chalcolithic,I
AHV525_50X_PPL,PPL,NNCC056,3.0 mm,5,Highly Calcareous Micritic Limestone Fabric,Abu Hof Village,31.382525, 34.843839,1996,AHVL,L.525,B.all,C1,Necked Jar,Necked Jar,Chalcolithic,IIIA
AHV525_50X_XP,XP,NNCC056,3.0 mm,5,Highly Calcareous Micritic Limestone Fabric,Abu Hof Village,31.382525, 34.843839,1996,AHVL,L.525,B.all,C1,Necked Jar,Necked Jar,Chalcolithic,IIIA
AHV543_50X_PPL,PPL,NNCC057,3.0 mm,5,Highly Calcareous Micritic Limestone Fabric,Abu Hof Village,31.382525, 34.843839,1996,AHVL,L.543,B.all,B1,Churn,Churn,Chalcolithic,IIIB
NT124_50X_PPL,PPL,NNCC058,3.0 mm,5,Highly Calcareous Micritic Limestone Fabric,Nahal Tillah Silo Site,31.382691, 34.866604,1996,A,L.124,,V19,Churn,Churn,Chalcolithic,IIIBEarly
NT124_50X_XP,XP,NNCC058,3.0 mm,5,Highly Calcareous Micritic Limestone Fabric,Nahal Tillah Silo Site,31.382691, 34.866604,1996,A,L.124,,V19,Churn,Churn,Chalcolithic,IIIBEarly
NT739_50X_PPL,PPL,NNCC059,3.0 mm,5,Highly Calcareous Micritic Limestone Fabric,Nahal Tillah Silo Site,31.382691, 34.866604,1996,C-West,L.739,,E16,Churn,Churn,Chalcolithic,IV
NT739_50X_XP,XP,NNCC059,3.0 mm,5,Highly Calcareous Micritic Limestone Fabric,Nahal Tillah Silo Site,31.382691, 34.866604,1996,C-West,L.739,,E16,Churn,Churn,Chalcolithic,IV
1-28_50x_PPL,PPL,NNCC060,3.0 mm,1,Silty Calcareous Fabric,Mezad Aluf,31.18483, 34.619239,1993,Mezad Aluf,L.1,B.28,SE,Small V-Shaped Bowl,Small V-Shaped Bowl,Chalcolithic,NA
1-28_50x_XP,XP,NNCC060,3.0 mm,1,Silty Calcareous Fabric,Mezad Aluf,31.18483, 34.619239,1993,Mezad Aluf,L.1,B.28,SE,Small V-Shaped Bowl,Small V-Shaped Bowl,Chalcolithic,NA
